"","total.num.var.onet","total.num.var.adlas","total.num.var.bort","total.num.var.bory"
"288",25,19,25,29
"289",31,26,30,26
"290",29,19,28,28
"291",29,19,27,32
"292",31,20,33,25
"293",31,20,24,28
"294",31,20,30,28
"295",30,17,28,26
"296",28,20,28,25
"297",34,21,30,24
"298",32,20,26,26
"299",32,20,28,28
"300",35,20,27,29
"301",31,19,26,24
"302",33,20,28,29
"303",30,20,27,33
"304",37,20,27,26
"305",28,19,29,34
"306",30,19,27,28
"307",33,22,31,29
"308",32,14,30,24
"309",33,21,28,29
"310",31,19,32,30
"311",30,21,27,26
"312",32,18,28,34
"313",33,16,27,32
"314",33,17,29,32
"315",34,20,32,26
"316",29,30,28,29
"317",34,20,31,25
"318",32,17,26,29
"319",29,20,29,33
"320",32,20,27,31
"321",27,20,28,27
"322",32,19,28,29
"323",34,20,29,29
"324",28,19,27,28
"325",34,21,31,29
"326",32,20,29,29
"327",30,21,29,32
"328",30,20,29,29
"329",34,19,27,26
"330",31,21,29,31
"331",32,20,28,29
"332",33,20,28,31
"333",30,20,28,30
"334",31,20,29,28
"335",32,20,29,26
"336",34,17,28,30
"337",27,19,27,28
"338",32,18,29,28
"339",27,20,29,26
"340",29,20,28,30
"341",33,20,30,30
"342",35,21,29,26
"343",35,31,28,30
"344",33,20,28,21
"345",31,20,26,33
"346",35,20,26,28
"347",32,28,32,31
"348",32,18,29,31
"349",32,20,29,27
"350",37,18,33,27
"351",33,20,32,23
"352",30,21,26,30
"353",33,21,27,33
"354",30,27,28,29
"355",36,21,30,29
"356",33,17,29,28
"357",34,18,29,31
"358",33,20,30,28
"359",29,26,26,25
"360",32,19,26,28
"361",29,20,28,24
"362",32,19,29,27
"363",30,26,26,25
"364",32,21,27,32
"365",29,20,27,27
"366",35,20,27,30
"367",29,21,25,27
"368",34,20,28,28
"369",34,20,29,28
"370",29,19,25,27
"371",33,20,26,27
"372",31,20,27,29
"373",29,17,30,31
"374",29,20,28,27
"375",35,21,29,28
"376",33,19,29,28
"377",28,20,27,29
"378",34,20,26,29
"379",34,20,25,29
"380",34,19,28,33
"381",29,18,29,30
"382",29,18,28,32
"383",30,20,29,28
"384",33,21,30,26
"385",31,19,26,27
"386",31,18,30,27
"387",27,19,26,31
"388",27,20,26,26
"389",36,31,28,29
"390",29,21,29,25
"391",28,19,29,30
"392",31,21,25,24
"393",35,20,28,29
"394",34,19,27,29
"395",34,19,29,29
"396",32,19,25,30
"397",31,19,30,28
"398",31,19,29,31
"399",34,21,28,26
"400",32,21,31,26
"401",34,20,29,32
"402",29,20,26,28
"403",31,20,28,27
"404",30,19,32,30
"405",34,20,27,31
"406",32,17,29,29
"407",28,17,30,30
"408",33,20,30,24
"409",29,21,28,31
"410",29,19,28,30
"411",27,19,25,26
"412",33,19,29,29
"413",30,19,28,26
"414",29,20,28,31
"415",33,19,29,27
"416",36,20,30,29
"417",31,21,29,31
"418",26,20,26,29
"419",31,20,30,30
"420",31,19,25,27
"421",37,19,26,27
"422",32,20,29,27
"423",31,20,29,31
"424",32,20,27,28
"425",29,20,28,29
"426",34,21,26,28
"427",30,20,28,29
"428",33,18,29,29
"429",34,21,28,27
"430",28,20,28,28
"431",29,20,26,25
"432",29,17,26,29
"433",35,19,28,32
"434",31,18,33,29
"435",34,19,29,26
"436",34,35,28,30
"437",30,19,31,26
"438",30,21,29,28
"439",31,21,28,27
"440",32,21,29,31
"441",34,6,28,28
"442",26,20,29,27
"443",37,20,28,29
"444",27,20,29,30
"445",35,19,24,30
"446",28,18,27,27
"447",33,20,24,25
"448",31,20,27,29
"449",28,20,29,27
"450",33,18,29,27
"451",34,20,27,24
"452",27,20,28,28
"453",30,19,24,30
"454",30,20,26,34
"455",31,19,30,32
"456",30,20,28,29
"457",31,20,27,29
"458",34,31,25,26
"459",33,20,29,28
"460",31,19,30,29
"461",31,18,28,30
"462",28,19,27,31
"463",31,20,26,26
"464",30,18,29,30
"465",29,21,28,28
"466",32,17,25,29
"467",34,22,28,29
"468",31,20,26,30
"469",29,19,27,29
"470",28,18,26,28
"471",27,20,28,29
"472",35,21,30,29
"473",29,20,28,28
"474",33,34,28,26
"475",29,20,27,31
"476",32,19,26,30
"477",32,18,27,30
"478",25,20,27,32
"479",30,19,27,25
"480",32,19,31,30
"481",35,21,29,25
"482",26,20,28,25
"483",30,22,26,27
"484",32,20,27,30
"485",30,21,29,30
"486",33,20,28,30
"487",31,19,28,28
"488",35,20,26,31
"489",32,17,27,28
"490",32,19,28,32
"491",35,19,31,34
"492",30,18,28,30
"493",28,18,31,28
"494",31,30,29,28
"495",35,21,25,29
"496",28,19,29,27
"497",35,21,27,28
"498",24,20,28,30
"499",34,19,27,30
"500",33,19,28,28
"501",28,19,29,30
"502",33,19,27,30
"503",32,20,27,28
"504",32,20,28,25
"505",28,19,26,29
"506",30,20,30,28
"507",29,20,26,30
"508",34,19,28,28
"509",33,20,30,28
"510",32,19,28,25
"511",31,19,29,25
"512",31,21,29,28
"513",36,21,28,30
"514",34,19,28,32
"515",30,19,29,29
"516",37,31,30,30
"517",32,31,28,24
"518",31,18,31,30
"519",34,19,28,33
"520",29,19,31,27
"521",32,18,27,28
"522",32,20,28,31
"523",30,18,28,27
"524",31,20,30,28
"525",35,20,26,29
"526",30,20,27,27
"527",30,21,27,26
"528",34,20,27,28
"529",30,20,29,31
"530",32,18,28,27
"531",33,20,29,26
"532",32,19,28,26
"533",27,20,27,28
"534",28,18,28,29
"535",30,19,29,29
"536",33,19,26,26
"537",31,19,26,27
"538",28,20,27,30
"539",24,19,28,31
"540",32,19,31,26
"541",34,19,28,27
"542",28,20,29,30
"543",31,21,28,29
"544",35,21,27,28
"545",32,19,24,28
"546",33,18,27,28
"547",31,19,30,28
"548",29,19,27,24
"549",33,19,27,33
"550",31,18,28,28
"551",32,20,28,29
"552",34,18,28,25
"553",34,20,28,29
